,datetime_utc,yes_best_ask_price,yes_best_ask_size,yes_best_bid_price,yes_best_bid_size,no_best_ask_price,no_best_ask_size,no_best_bid_price,no_best_bid_size,arb_gap,yes_best_mid_price,no_best_mid_price,yes_best_mid_std,no_best_mid_std,cheap_yes,cheap_no,yes_imbalance,no_imbalance,pair_best_ask_price,timestamp,price_Down,price_Up,size_Down,size_Up
0,2026-01-18 19:45:01.774,0.55,162.68,0.5,6.78,0.5,1.78,0.45,162.68,0.050000000000000044,0.525,0.475,,,0,0,-0.9199811164876667,0.978353399002797,1.05,,,,,
1,2026-01-18 19:45:03.006,0.52,61.0,0.5,1.78,0.5,1.78,0.48,61.0,0.020000000000000018,0.51,0.49,0.010606601717798262,0.010606601717798222,0,0,-0.9432940426887544,0.9432940426887544,1.02,,,,,
2,2026-01-18 19:45:04.079,0.52,99.7,0.5,25.78,0.5,25.78,0.48,99.7,0.020000000000000018,0.51,0.49,0.008660254037844426,0.008660254037844393,0,0,-0.5890978642014664,0.5890978642014664,1.02,,,,,
3,2026-01-18 19:45:05.353,0.46,49.5,0.45,183.89,0.55,183.89,0.54,49.5,0.010000000000000009,0.455,0.545,0.030822070014844882,0.03082207001484491,0,0,0.5758173015124898,-0.5758173015124898,1.01,,,,,
4,2026-01-18 19:45:06.431,0.46,123.0,0.45,194.9,0.55,194.9,0.54,123.0,0.010000000000000009,0.455,0.545,0.03342902930089355,0.03342902930089359,0,0,0.22617175212330926,-0.22617175212330926,1.01,,,,,
5,2026-01-18 19:45:07.703,0.46,120.36,0.45,148.3,0.55,148.3,0.54,132.36,0.010000000000000009,0.455,0.545,0.03331666249791536,0.03331666249791539,0,0,0.10399761780689351,-0.05679469821135893,1.01,,,,,
6,2026-01-18 19:45:08.773,0.46,55.67,0.45,204.49,0.55,204.49,0.54,55.67,0.010000000000000009,0.455,0.545,0.03245876505000503,0.03245876505000506,0,0,0.5720325953259532,-0.5720325953259532,1.01,,,,,
7,2026-01-18 19:45:09.924,0.45,89.74,0.44,152.29,0.56,152.29,0.55,105.55,0.010000000000000009,0.445,0.555,0.032596012026013234,0.03259601202601326,0,0,0.25843903648308064,-0.181275209432206,1.01,,,,,
8,2026-01-18 19:45:10.974,0.45,65.05,0.44,183.57,0.56,183.57,0.55,65.05,0.010000000000000009,0.445,0.555,0.032221024881968666,0.03222102488196869,0,0,0.4767114471884804,-0.4767114471884804,1.01,,,,,
9,2026-01-18 19:45:12.243,0.45,76.66,0.44,173.39,0.56,173.39,0.55,76.66,0.010000000000000009,0.445,0.555,0.031622776601683784,0.03162277660168381,0,0,0.38684263147370523,-0.38684263147370523,1.01,,,,,
10,2026-01-18 19:45:13.555,0.45,60.75,0.44,128.95,0.56,128.95,0.55,60.75,0.010000000000000009,0.445,0.555,0.030932477783361965,0.03093247778336199,0,0,0.35951502372166577,-0.35951502372166577,1.01,,,,,
11,2026-01-18 19:45:14.771,0.46,233.74,0.45,56.5,0.55,56.5,0.54,233.74,0.010000000000000009,0.455,0.545,0.029720924166878344,0.02972092416687836,0,0,-0.6106670341786108,0.6106670341786108,1.01,,,,,
12,2026-01-18 19:45:15.886,0.46,126.38,0.45,147.45,0.55,147.45,0.54,126.38,0.010000000000000009,0.455,0.545,0.028638999767664857,0.02863899976766487,0,0,0.07694555015885766,-0.07694555015885766,1.01,,,,,
13,2026-01-18 19:45:17.085,0.46,67.42,0.45,195.95,0.55,201.45,0.54,67.42,0.010000000000000009,0.455,0.545,0.027665585397468377,0.027665585397468388,0,0,0.48802065535178635,-0.4984936958381373,1.01,,,,,
14,2026-01-18 19:45:18.197,0.46,57.68,0.45,236.45,0.55,236.45,0.54,57.68,0.010000000000000009,0.455,0.545,0.026783968197056845,0.026783968197056855,0,0,0.6077924727161459,-0.6077924727161459,1.01,,,,,
