timestamp,side,price,size,cost,fee,capitol_remaining,cum_up_size,cum_down_size,avg_up_price,avg_down_price,pair_cost
2026-01-20 04:45:04,up,0.57,87.71929824561404,50.5,0.5,949.5,87.71929824561404,0.0,0.57,0.0,0.57
2026-01-20 04:45:07,down,0.44,113.63636363636364,50.5,0.5,899.0,87.71929824561404,113.63636363636364,0.57,0.44,1.01
2026-01-20 04:45:08,down,0.44,113.63636363636364,50.5,0.5,848.5,87.71929824561404,227.27272727272728,0.57,0.44,1.01
2026-01-20 04:45:35,up,0.6,83.33333333333334,50.50000000000001,0.5000000000000001,798.0,171.0526315789474,227.27272727272728,0.5846153846153845,0.44,1.0246153846153845
2026-01-20 04:45:36,up,0.6,83.33333333333334,50.50000000000001,0.5000000000000001,747.5,254.38596491228074,227.27272727272728,0.5896551724137931,0.44,1.029655172413793
2026-01-20 04:45:37,up,0.6,83.33333333333334,50.50000000000001,0.5000000000000001,697.0,337.7192982456141,227.27272727272728,0.5922077922077921,0.44,1.0322077922077921
2026-01-20 04:45:45,down,0.4,125.0,50.5,0.5,646.5,337.7192982456141,352.27272727272725,0.5922077922077921,0.42580645161290326,1.0180142438206954
2026-01-20 04:45:46,down,0.4,125.0,50.5,0.5,596.0,337.7192982456141,477.27272727272725,0.5922077922077921,0.41904761904761906,1.011255411255411
2026-01-20 04:45:47,down,0.4,125.0,50.5,0.5,545.5,337.7192982456141,602.2727272727273,0.5922077922077921,0.41509433962264153,1.0073021318304336
2026-01-20 04:45:48,down,0.4,125.0,50.5,0.5,495.0,337.7192982456141,727.2727272727273,0.5922077922077921,0.41250000000000003,1.004707792207792
2026-01-20 04:46:25,up,0.62,80.64516129032258,50.5,0.5,444.5,418.36445953593665,727.2727272727273,0.5975650997632734,0.41250000000000003,1.0100650997632734
2026-01-20 04:46:29,up,0.61,81.9672131147541,50.5,0.5,394.0,500.33167265069073,727.2727272727273,0.5996022566603465,0.41250000000000003,1.0121022566603466
2026-01-20 04:46:30,up,0.61,81.9672131147541,50.5,0.5,343.5,582.2988857654449,727.2727272727273,0.6010658934026932,0.41250000000000003,1.0135658934026932
2026-01-20 04:46:31,up,0.61,81.9672131147541,50.5,0.5,293.0,664.266098880199,727.2727272727273,0.6021683188022219,0.41250000000000003,1.0146683188022219
2026-01-20 04:46:32,up,0.61,81.9672131147541,50.5,0.5,242.5,746.2333119949532,727.2727272727273,0.6030285605945227,0.41250000000000003,1.0155285605945228
2026-01-20 04:46:33,up,0.61,81.9672131147541,50.5,0.5,192.0,828.2005251097073,727.2727272727273,0.6037185256961383,0.41250000000000003,1.0162185256961382
2026-01-20 04:46:34,up,0.61,81.9672131147541,50.5,0.5,141.5,910.1677382244615,727.2727272727273,0.6042842180639472,0.41250000000000003,1.0167842180639473
2026-01-20 04:46:35,up,0.61,81.9672131147541,50.5,0.5,91.0,992.1349513392156,727.2727272727273,0.604756438819236,0.41250000000000003,1.017256438819236
2026-01-20 04:46:36,up,0.61,81.9672131147541,50.5,0.5,40.5,1074.1021644539696,727.2727272727273,0.6051565870649128,0.41250000000000003,1.0176565870649128
2026-01-20 04:46:37,up,0.61,52.58886544392144,32.4,0.3207920792079208,8.100000000000001,1126.691029897891,727.2727272727273,0.6053826557779617,0.41250000000000003,1.0178826557779617
2026-01-20 04:46:38,up,0.61,10.51777308878429,6.480000000000001,0.06415841584158417,1.62,1137.2088029866752,727.2727272727273,0.6054253604938176,0.41250000000000003,1.0179253604938177
2026-01-20 04:46:43,down,0.43,2.984112364724845,1.2960000000000003,0.012831683168316834,0.32399999999999984,1137.2088029866752,730.2568396374521,0.6054253604938176,0.4125715117798946,1.017996872273712
2026-01-20 04:46:44,down,0.42,0.6110325318246108,0.2591999999999999,0.0025663366336633655,0.06479999999999997,1137.2088029866752,730.8678721692768,0.6054253604938176,0.41257772227037803,1.0180030827641957
2026-01-20 04:46:45,down,0.42,0.12220650636492215,0.051839999999999976,0.000513267326732673,0.012959999999999992,1137.2088029866752,730.9900786756417,0.6054253604938176,0.4125789631225552,1.0180043236163727
2026-01-20 04:46:47,down,0.41,0.025037430572325516,0.010367999999999995,0.0001026534653465346,0.002591999999999997,1137.2088029866752,731.015116106214,0.6054253604938176,0.4125788747924937,1.0180042352863112
2026-01-20 04:46:48,down,0.4,0.0051326732673267275,0.002073599999999998,2.0530693069306913e-05,0.0005183999999999992,1137.2088029866752,731.0202487794813,0.6054253604938176,0.4125787864731148,1.0180041469669323
2026-01-20 04:46:49,down,0.4,0.0010265346534653447,0.0004147199999999993,4.10613861386138e-06,0.00010367999999999987,1137.2088029866752,731.0212753141348,0.6054253604938176,0.4125787688093879,1.0180041293032054
2026-01-20 04:46:50,down,0.4,0.00020530693069306904,8.29439999999999e-05,8.212277227722763e-07,2.0735999999999972e-05,1137.2088029866752,731.0214806210654,0.6054253604938176,0.41257876527664844,1.018004125770466
2026-01-20 04:47:13,up,0.6,2.737425742574254e-05,1.658879999999998e-05,1.6424554455445523e-07,4.147199999999993e-06,1137.2088303609326,731.0214806210654,0.6054253603632214,0.41257876527664844,1.0180041256398698
2026-01-20 04:47:19,down,0.41,8.011977783144155e-06,3.3177599999999945e-06,3.284910891089104e-08,8.294399999999986e-07,1137.2088303609326,731.0214886330432,0.6054253603632214,0.41257876524838527,1.0180041256116066
2026-01-20 04:47:25,up,0.6,1.0949702970297012e-06,6.63551999999999e-07,6.569821782178207e-09,1.6588799999999964e-07,1137.2088314559028,731.0214886330432,0.6054253603579974,0.41257876524838527,1.0180041256063828
2026-01-20 04:47:29,up,0.6,2.1899405940594013e-07,1.327103999999997e-07,1.3139643564356408e-09,3.317759999999993e-08,1137.2088316748968,731.0214886330432,0.6054253603569527,0.41257876524838527,1.018004125605338
2026-01-20 04:47:30,up,0.6,4.379881188118803e-08,2.6542079999999946e-08,2.627928712871282e-10,6.635519999999987e-09,1137.2088317186956,731.0214886330432,0.6054253603567438,0.41257876524838527,1.018004125605129
2026-01-20 04:47:31,up,0.6,8.759762376237606e-09,5.30841599999999e-09,5.255857425742564e-11,1.3271039999999968e-09,1137.2088317274554,731.0214886330432,0.6054253603567019,0.41257876524838527,1.0180041256050871
2026-01-20 04:47:32,up,0.6,1.7519524752475207e-09,1.0616831999999975e-09,1.0511714851485123e-11,2.654207999999993e-10,1137.2088317292073,731.0214886330432,0.6054253603566936,0.41257876524838527,1.018004125605079
2026-01-20 04:47:33,up,0.6,3.5039049504950407e-10,2.1233663999999944e-10,2.1023429702970244e-12,5.308415999999988e-11,1137.2088317295577,731.0214886330432,0.6054253603566919,0.41257876524838527,1.0180041256050771
2026-01-20 04:47:34,up,0.6,7.007809900990083e-11,4.24673279999999e-11,4.20468594059405e-13,1.0616831999999979e-11,1137.2088317296277,731.0214886330432,0.6054253603566916,0.41257876524838527,1.018004125605077
2026-01-20 04:47:39,down,0.41,2.0510663124849033e-11,8.493465599999984e-12,8.409371881188103e-14,2.1233663999999948e-12,1137.2088317296277,731.0214886330637,0.6054253603566916,0.4125787652483852,1.018004125605077
2026-01-20 04:47:45,down,0.4,4.204685940594049e-12,1.6986931199999958e-12,1.6818743762376197e-14,4.2467327999999895e-13,1137.2088317296277,731.0214886330679,0.6054253603566916,0.41257876524838516,1.0180041256050767
2026-01-20 04:47:56,down,0.39,8.624996801218561e-13,3.3973862399999916e-13,3.363748752475239e-15,8.493465599999979e-14,1137.2088317296277,731.0214886330688,0.6054253603566916,0.41257876524838516,1.0180041256050767
2026-01-20 04:48:05,up,0.63,1.0678567468175363e-13,6.794772479999983e-14,6.727497504950479e-16,1.6986931199999958e-14,1137.2088317296277,731.0214886330688,0.6054253603566917,0.41257876524838516,1.018004125605077
2026-01-20 04:48:09,up,0.69,1.9499992767972402e-14,1.3589544959999966e-14,1.3454995009900956e-16,3.3973862399999926e-15,1137.2088317296277,731.0214886330688,0.6054253603566917,0.41257876524838516,1.018004125605077
2026-01-20 04:48:10,up,0.69,3.8999985535944815e-15,2.7179089919999937e-15,2.690999001980192e-17,6.794772479999988e-16,1137.2088317296277,731.0214886330688,0.6054253603566917,0.41257876524838516,1.018004125605077
