datetime_utc,up_best_ask_price,up_best_ask_size,up_top3_ask_size,up_top5_ask_size,up_top10_ask_size,up_total_ask_size,up_ask_levels,up_ask_size_std,up_ask_max_single_size,up_best_bid_price,up_best_bid_size,up_top3_bid_size,up_top5_bid_size,up_top10_bid_size,up_total_bid_size,up_bid_levels,up_bid_size_std,up_bid_max_single_size,down_best_ask_price,down_best_ask_size,down_top3_ask_size,down_top5_ask_size,down_top10_ask_size,down_total_ask_size,down_ask_levels,down_ask_size_std,down_ask_max_single_size,down_best_bid_price,down_best_bid_size,down_top3_bid_size,down_top5_bid_size,down_top10_bid_size,down_total_bid_size,down_bid_levels,down_bid_size_std,down_bid_max_single_size,up_ask_vwap,up_bid_vwap,down_ask_vwap,down_bid_vwap,up_spread,down_spread,up_mid,down_mid,up_spread_pct,down_spread_pct,up_tob_imbalance,down_tob_imbalance,up_top5_imbalance,down_top5_imbalance,up_book_imbalance,down_book_imbalance,up_weighted_mid,down_weighted_mid,up_bid_tob_concentration,up_ask_tob_concentration,down_bid_tob_concentration,down_ask_tob_concentration,overround,spread_differential,tob_imbalance_differential,book_imbalance_differential,up_mid_skew,down_mid_skew
2026-02-16T08:30:00.349413+0000,0.45,413.87,1638.3600000000001,2906.2200000000003,4497.91,56240.05,45,4444.509239033147,28611.52,0.44,295.17,429.07000000000005,657.8100000000001,1561.65,52686.54,36,4963.680997571114,28592.77,,,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,0.0,0,,,0.9243742973201482,0.03951305969228573,NaN,NaN,0.010000000000000009,,0.445,,0.02247191011235957,,-0.16740945503779758,,-0.6308616930833916,NaN,-0.03262298030260566,NaN,0.44416295272481104,,0.005602379659017275,0.007358990612561688,,,,,,NaN,-0.0008370472751889624,
2026-02-16T08:30:00.350217+0000,0.45,413.87,1638.3600000000001,2906.2200000000003,4497.91,56240.05,45,4444.509239033147,28611.52,0.44,295.17,429.07000000000005,657.8100000000001,1561.65,52686.54,36,4963.680997571114,28592.77,0.56,295.17,429.07000000000005,657.8100000000001,1561.65,52686.54,36,4963.680997571114,28592.77,0.55,413.87,1638.3600000000001,2906.2200000000003,4497.91,56240.05,45,4444.509239033147,28611.52,0.9243742973201482,0.03951305969228573,0.9604869403077142,0.0756257026798518,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.16740945503779758,0.16740945503779758,-0.6308616930833916,0.6308616930833916,-0.03262298030260566,0.03262298030260566,0.44416295272481104,0.5558370472751891,0.005602379659017275,0.007358990612561688,0.007358990612561688,0.005602379659017275,0.0,0.0,-0.33481891007559517,-0.06524596060521132,-0.0008370472751889624,0.0008370472751890734
2026-02-16T08:30:00.942558+0000,0.45,478.07,1909.56,3177.42,4669.11,56651.57,45,4444.610260738837,28611.52,0.44,141.0,274.9,606.82,1415.66,52530.55,35,5030.665966572693,28592.77,0.56,295.17,429.07000000000005,657.8100000000001,1561.65,52686.54,36,4963.680997571114,28592.77,0.55,413.87,1638.3600000000001,2906.2200000000003,4497.91,56240.05,45,4444.509239033147,28611.52,0.9235176200765487,0.03844097196774066,0.9604869403077142,0.0756257026798518,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.5444780073335811,0.16740945503779758,-0.6792909540621102,0.6308616930833916,-0.03774445852489398,0.03262298030260566,0.4422776099633321,0.5558370472751891,0.0026841523646716054,0.008438777601397454,0.007358990612561688,0.005602379659017275,0.0,0.0,-0.7118874623713787,-0.07036743882749963,-0.00272239003666791,0.0008370472751890734
2026-02-16T08:30:00.943571+0000,0.45,478.07,1909.56,3177.42,4669.11,56651.57,45,4444.610260738837,28611.52,0.44,141.0,274.9,606.82,1415.66,52530.55,35,5030.665966572693,28592.77,0.56,141.0,274.9,606.82,1415.66,52530.55,35,5030.665966572693,28592.77,0.55,478.07,1909.56,3177.42,4669.11,56651.57,45,4444.610260738837,28611.52,0.9235176200765487,0.03844097196774066,0.9615590280322593,0.07648237992345136,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.5444780073335811,0.5444780073335811,-0.6792909540621102,0.6792909540621102,-0.03774445852489398,0.03774445852489398,0.4422776099633321,0.557722390036668,0.0026841523646716054,0.008438777601397454,0.008438777601397454,0.0026841523646716054,0.0,0.0,-1.0889560146671622,-0.07548891704978795,-0.00272239003666791,0.0027223900366679654
2026-02-16T08:30:00.963591+0000,0.45,476.33,1907.82,3185.68,4671.37,56975.39,45,4460.666796083237,28633.08,0.44,250.0,383.9,715.82,1524.66,53110.63,35,5055.311051410331,28613.85,0.56,141.0,274.9,606.82,1415.66,52530.55,35,5030.665966572693,28592.77,0.55,478.07,1909.56,3177.42,4669.11,56651.57,45,4444.610260738837,28611.52,0.9238236807154809,0.03909756295491128,0.9615590280322593,0.07648237992345136,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.31160767144410945,0.5444780073335811,-0.6330539536075868,0.6792909540621102,-0.03510672835660698,0.03774445852489398,0.4434419616427795,0.557722390036668,0.0047071556108447595,0.008360276252606607,0.008438777601397454,0.0026841523646716054,0.0,0.0,-0.8560856787776905,-0.07285118688150095,-0.0015580383572205148,0.0027223900366679654
2026-02-16T08:30:00.969125+0000,0.45,476.33,1907.82,3185.68,4671.37,56975.39,45,4460.666796083237,28633.08,0.44,250.0,383.9,715.82,1524.66,53110.63,35,5055.311051410331,28613.85,0.56,250.0,383.9,715.82,1524.66,53110.63,35,5055.311051410331,28613.85,0.55,476.33,1907.82,3185.68,4671.37,56975.39,45,4460.666796083237,28633.08,0.9238236807154809,0.03909756295491128,0.9609024370450887,0.07617631928451915,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.31160767144410945,0.31160767144410945,-0.6330539536075868,0.6330539536075868,-0.03510672835660698,0.03510672835660698,0.4434419616427795,0.5565580383572206,0.0047071556108447595,0.008360276252606607,0.008360276252606607,0.0047071556108447595,0.0,0.0,-0.6232153428882189,-0.07021345671321395,-0.0015580383572205148,0.0015580383572205703
2026-02-16T08:30:01.601504+0000,0.45,527.33,1308.08,2487.82,4505.62,59096.08,54,4095.0362076640454,28661.52,0.44,381.68,696.58,1234.5,2054.34,55534.229999999996,44,4529.853197405656,28642.77,0.56,250.0,383.9,715.82,1524.66,53110.63,35,5055.311051410331,28613.85,0.55,476.33,1907.82,3185.68,4671.37,56975.39,45,4460.666796083237,28633.08,0.917970702963716,0.04875073625761984,0.9609024370450887,0.07617631928451915,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.160229260404176,0.31160767144410945,-0.33670399105933935,0.6330539536075868,-0.031072497317681563,0.03510672835660698,0.4441988536979791,0.5565580383572206,0.006872878223034695,0.008923265299491947,0.008360276252606607,0.0047071556108447595,0.0,0.0,-0.47183693184828546,-0.06617922567428854,-0.0008011463020208831,0.0015580383572205703
2026-02-16T08:30:01.602507+0000,0.45,527.33,1308.08,2487.82,4505.62,59096.08,54,4095.0362076640454,28661.52,0.44,381.68,696.58,1234.5,2054.34,55534.229999999996,44,4529.853197405656,28642.77,0.56,381.68,696.58,1234.5,2054.34,55534.229999999996,44,4529.853197405656,28642.77,0.55,527.33,1308.08,2487.82,4505.62,59096.08,54,4095.0362076640454,28661.52,0.917970702963716,0.04875073625761984,0.9512492637423801,0.08202929703628395,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.160229260404176,0.160229260404176,-0.33670399105933935,0.33670399105933935,-0.031072497317681563,0.031072497317681563,0.4441988536979791,0.5558011463020209,0.006872878223034695,0.008923265299491947,0.008923265299491947,0.006872878223034695,0.0,0.0,-0.320458520808352,-0.062144994635363125,-0.0008011463020208831,0.0008011463020208831
2026-02-16T08:30:01.635521+0000,0.45,532.33,1963.8200000000002,3305.6800000000003,5454.62,60397.08,54,4089.970664767089,28661.52,0.44,510.96,1131.86,1790.78,2723.62,56523.51,44,4524.93418282674,28642.77,0.56,381.68,696.58,1234.5,2054.34,55534.229999999996,44,4529.853197405656,28642.77,0.55,527.33,1308.08,2487.82,4505.62,59096.08,54,4095.0362076640454,28661.52,0.9121290317346467,0.053973077751187065,0.9512492637423801,0.08202929703628395,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.0204832788582274,0.160229260404176,-0.29724553906044593,0.33670399105933935,-0.0331299217699808,0.031072497317681563,0.44489758360570886,0.5558011463020209,0.009039778315253245,0.008813836695416402,0.008923265299491947,0.006872878223034695,0.0,0.0,-0.1807125392624034,-0.06420241908766236,-0.00010241639429114935,0.0008011463020208831
2026-02-16T08:30:01.636228+0000,0.45,532.33,1963.8200000000002,3305.6800000000003,5454.62,60397.08,54,4089.970664767089,28661.52,0.44,510.96,1131.86,1790.78,2723.62,56523.51,44,4524.93418282674,28642.77,0.56,510.96,1131.86,1790.78,2723.62,56523.51,44,4524.93418282674,28642.77,0.55,532.33,1963.8200000000002,3305.6800000000003,5454.62,60397.08,54,4089.970664767089,28661.52,0.9121290317346467,0.053973077751187065,0.9460269222488128,0.08787096826535326,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.0204832788582274,0.0204832788582274,-0.29724553906044593,0.29724553906044593,-0.0331299217699808,0.0331299217699808,0.44489758360570886,0.5551024163942913,0.009039778315253245,0.008813836695416402,0.008813836695416402,0.009039778315253245,0.0,0.0,-0.0409665577164548,-0.0662598435399616,-0.00010241639429114935,0.00010241639429120486
