datetime_utc,up_best_ask_price,up_best_ask_size,up_top3_ask_size,up_top5_ask_size,up_top10_ask_size,up_total_ask_size,up_ask_levels,up_ask_size_std,up_ask_max_single_size,up_best_bid_price,up_best_bid_size,up_top3_bid_size,up_top5_bid_size,up_top10_bid_size,up_total_bid_size,up_bid_levels,up_bid_size_std,up_bid_max_single_size,down_best_ask_price,down_best_ask_size,down_top3_ask_size,down_top5_ask_size,down_top10_ask_size,down_total_ask_size,down_ask_levels,down_ask_size_std,down_ask_max_single_size,down_best_bid_price,down_best_bid_size,down_top3_bid_size,down_top5_bid_size,down_top10_bid_size,down_total_bid_size,down_bid_levels,down_bid_size_std,down_bid_max_single_size,up_ask_vwap,up_bid_vwap,down_ask_vwap,down_bid_vwap,up_spread,down_spread,up_mid,down_mid,up_spread_pct,down_spread_pct,up_tob_imbalance,down_tob_imbalance,up_top5_imbalance,down_top5_imbalance,up_book_imbalance,down_book_imbalance,up_weighted_mid,down_weighted_mid,up_bid_tob_concentration,up_ask_tob_concentration,down_bid_tob_concentration,down_ask_tob_concentration,overround,spread_differential,tob_imbalance_differential,book_imbalance_differential,up_mid_skew,down_mid_skew
2026-02-17T02:00:00.281744+0000,0.55,10.0,280.34000000000003,455.34000000000003,1327.63,49018.61,37,4485.258755146717,26290.88,0.54,65.51,2841.45,4005.2,5487.0599999999995,54023.67,43,4087.3355723795835,25776.9,,,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,0.0,0,,,0.9571951367042029,0.09124523565318682,NaN,NaN,0.010000000000000009,,0.545,,0.018348623853211024,,0.7351344192822143,,0.7958363785550627,NaN,0.04857287707531314,NaN,0.5486756720964111,,0.0012126166178639845,0.00020400415270853254,,,,,,NaN,0.0036756720964110645,
2026-02-17T02:00:00.282333+0000,0.55,10.0,280.34000000000003,455.34000000000003,1327.63,49018.61,37,4485.258755146717,26290.88,0.54,65.51,2841.45,4005.2,5487.0599999999995,54023.67,43,4087.3355723795835,25776.9,0.46,65.51,2841.45,4005.2,5487.0599999999995,54023.67,43,4087.3355723795835,25776.9,0.45,10.0,280.34000000000003,455.34000000000003,1327.63,49018.61,37,4485.258755146717,26290.88,0.9571951367042029,0.09124523565318682,0.9087547643468132,0.042804863295797246,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.7351344192822143,-0.7351344192822143,0.7958363785550627,-0.7958363785550627,0.04857287707531314,-0.04857287707531314,0.5486756720964111,0.45132432790358895,0.0012126166178639845,0.00020400415270853254,0.00020400415270853254,0.0012126166178639845,0.0,0.0,1.4702688385644287,0.09714575415062628,0.0036756720964110645,-0.0036756720964110645
2026-02-17T02:00:00.457692+0000,0.55,10.0,280.34000000000003,440.34000000000003,1312.63,49103.61,37,4500.841479075264,26390.88,0.54,32.22,2863.16,4026.91,5508.7699999999995,54645.16,44,4041.337684300373,25776.9,0.46,65.51,2841.45,4005.2,5487.0599999999995,54023.67,43,4087.3355723795835,25776.9,0.45,10.0,280.34000000000003,455.34000000000003,1327.63,49018.61,37,4485.258755146717,26290.88,0.9573771683996349,0.09217110353414645,0.9087547643468132,0.042804863295797246,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.5262908574135481,-0.7351344192822143,0.8028585819016173,-0.7958363785550627,0.05341316335605716,-0.04857287707531314,0.5476314542870678,0.45132432790358895,0.0005896222099084346,0.0002036510146606329,0.00020400415270853254,0.0012126166178639845,0.0,0.0,1.2614252766957623,0.1019860404313703,0.0026314542870677915,-0.0036756720964110645
2026-02-17T02:00:00.458827+0000,0.55,10.0,280.34000000000003,440.34000000000003,1312.63,49103.61,37,4500.841479075264,26390.88,0.54,32.22,2863.16,4026.91,5508.7699999999995,54645.16,44,4041.337684300373,25776.9,0.46,32.22,2863.16,4026.91,5508.7699999999995,54645.16,44,4041.337684300373,25776.9,0.45,10.0,280.34000000000003,440.34000000000003,1312.63,49103.61,37,4500.841479075264,26390.88,0.9573771683996349,0.09217110353414645,0.9078288964658535,0.04262283160036502,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.5262908574135481,-0.5262908574135481,0.8028585819016173,-0.8028585819016173,0.05341316335605716,-0.05341316335605716,0.5476314542870678,0.4523685457129323,0.0005896222099084346,0.0002036510146606329,0.0002036510146606329,0.0005896222099084346,0.0,0.0,1.0525817148270962,0.10682632671211433,0.0026314542870677915,-0.002631454287067736
2026-02-17T02:00:00.668511+0000,0.55,22.69,293.03,606.15,1473.44,50188.22,37,4496.067506533727,26390.88,0.54,45.22,2876.16,4039.91,5528.7699999999995,55251.42,44,4040.137242534356,25776.9,0.46,32.22,2863.16,4026.91,5508.7699999999995,54645.16,44,4041.337684300373,25776.9,0.45,10.0,280.34000000000003,440.34000000000003,1312.63,49103.61,37,4500.841479075264,26390.88,0.9557680268397644,0.09256418206084113,0.9078288964658535,0.04262283160036502,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.3317626270063319,-0.5262908574135481,0.7390692328553656,-0.8028585819016173,0.04801989081146329,-0.05341316335605716,0.5466588131350317,0.4523685457129323,0.0008184405034295951,0.00045209812183018245,0.0002036510146606329,0.0005896222099084346,0.0,0.0,0.8580534844198799,0.10143305416752045,0.0016588131350316893,-0.002631454287067736
2026-02-17T02:00:00.669202+0000,0.55,22.69,293.03,606.15,1473.44,50188.22,37,4496.067506533727,26390.88,0.54,45.22,2876.16,4039.91,5528.7699999999995,55251.42,44,4040.137242534356,25776.9,0.46,45.22,2876.16,4039.91,5528.7699999999995,55251.42,44,4040.137242534356,25776.9,0.45,22.69,293.03,606.15,1473.44,50188.22,37,4496.067506533727,26390.88,0.9557680268397644,0.09256418206084113,0.9074358179391588,0.04423197316023561,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.3317626270063319,-0.3317626270063319,0.7390692328553656,-0.7390692328553656,0.04801989081146329,-0.04801989081146329,0.5466588131350317,0.4533411868649684,0.0008184405034295951,0.00045209812183018245,0.00045209812183018245,0.0008184405034295951,0.0,0.0,0.6635252540126638,0.09603978162292658,0.0016588131350316893,-0.0016588131350316337
2026-02-17T02:00:00.790024+0000,0.55,28.14,228.48,461.6,1243.8899999999999,49938.67,36,4555.5949437314275,26390.88,0.54,37.22,2868.16,4031.91,5415.7699999999995,54835.42,43,4085.7404960591075,25776.9,0.46,45.22,2876.16,4039.91,5528.7699999999995,55251.42,44,4040.137242534356,25776.9,0.45,22.69,293.03,606.15,1473.44,50188.22,37,4496.067506533727,26390.88,0.9575003399169422,0.09005825978901956,0.9074358179391588,0.04423197316023561,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.13892288861689103,-0.3317626270063319,0.7945481372023206,-0.7390692328553656,0.046736268480117554,-0.04801989081146329,0.5456946144430845,0.4533411868649684,0.0006787583645753055,0.0005634911782792774,0.00045209812183018245,0.0008184405034295951,0.0,0.0,0.4706855156232229,0.09475615929158085,0.0006946144430844958,-0.0016588131350316337
2026-02-17T02:00:00.790730+0000,0.55,28.14,228.48,461.6,1243.8899999999999,49938.67,36,4555.5949437314275,26390.88,0.54,37.22,2868.16,4031.91,5415.7699999999995,54835.42,43,4085.7404960591075,25776.9,0.46,37.22,2868.16,4031.91,5415.7699999999995,54835.42,43,4085.7404960591075,25776.9,0.45,28.14,228.48,461.6,1243.8899999999999,49938.67,36,4555.5949437314275,26390.88,0.9575003399169422,0.09005825978901956,0.9099417402109804,0.042499660083057875,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.13892288861689103,-0.13892288861689103,0.7945481372023206,-0.7945481372023206,0.046736268480117554,-0.046736268480117554,0.5456946144430845,0.4543053855569156,0.0006787583645753055,0.0005634911782792774,0.0005634911782792774,0.0006787583645753055,0.0,0.0,0.27784577723378207,0.09347253696023511,0.0006946144430844958,-0.0006946144430844403
2026-02-17T02:00:00.827086+0000,0.55,18.68,269.02,502.14,1284.43,49979.21,36,4555.304467306629,26390.88,0.54,69.72,2950.66,4114.41,5498.2699999999995,54917.92,43,4085.1918475937864,25776.9,0.46,37.22,2868.16,4031.91,5415.7699999999995,54835.42,43,4085.7404960591075,25776.9,0.45,28.14,228.48,461.6,1243.8899999999999,49938.67,36,4555.5949437314275,26390.88,0.9571798053630699,0.09072507662344093,0.9099417402109804,0.042499660083057875,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.5773755656108597,-0.13892288861689103,0.7824609286155245,-0.7945481372023206,0.047081459712005454,-0.046736268480117554,0.5478868778280543,0.4543053855569156,0.0012695309654844904,0.00037375540749843785,0.0005634911782792774,0.0006787583645753055,0.0,0.0,0.7162984542277507,0.093817728192123,0.0028868778280543017,-0.0006946144430844403
2026-02-17T02:00:00.827768+0000,0.55,18.68,269.02,502.14,1284.43,49979.21,36,4555.304467306629,26390.88,0.54,69.72,2950.66,4114.41,5498.2699999999995,54917.92,43,4085.1918475937864,25776.9,0.46,69.72,2950.66,4114.41,5498.2699999999995,54917.92,43,4085.1918475937864,25776.9,0.45,18.68,269.02,502.14,1284.43,49979.21,36,4555.304467306629,26390.88,0.9571798053630699,0.09072507662344093,0.9092749233765591,0.042820194636930035,0.010000000000000009,0.010000000000000009,0.545,0.455,0.018348623853211024,0.021978021978021997,0.5773755656108597,-0.5773755656108597,0.7824609286155245,-0.7824609286155245,0.047081459712005454,-0.047081459712005454,0.5478868778280543,0.45211312217194566,0.0012695309654844904,0.00037375540749843785,0.00037375540749843785,0.0012695309654844904,0.0,0.0,1.1547511312217194,0.09416291942401091,0.0028868778280543017,-0.0028868778280543572
