datetime_utc,up_best_ask_price,up_best_ask_size,up_top3_ask_size,up_top5_ask_size,up_top10_ask_size,up_total_ask_size,up_ask_levels,up_ask_size_std,up_ask_max_single_size,up_best_bid_price,up_best_bid_size,up_top3_bid_size,up_top5_bid_size,up_top10_bid_size,up_total_bid_size,up_bid_levels,up_bid_size_std,up_bid_max_single_size,down_best_ask_price,down_best_ask_size,down_top3_ask_size,down_top5_ask_size,down_top10_ask_size,down_total_ask_size,down_ask_levels,down_ask_size_std,down_ask_max_single_size,down_best_bid_price,down_best_bid_size,down_top3_bid_size,down_top5_bid_size,down_top10_bid_size,down_total_bid_size,down_bid_levels,down_bid_size_std,down_bid_max_single_size,up_ask_vwap,up_bid_vwap,down_ask_vwap,down_bid_vwap,up_spread,down_spread,up_mid,down_mid,up_spread_pct,down_spread_pct,up_tob_imbalance,down_tob_imbalance,up_top5_imbalance,down_top5_imbalance,up_book_imbalance,down_book_imbalance,up_weighted_mid,down_weighted_mid,up_bid_tob_concentration,up_ask_tob_concentration,down_bid_tob_concentration,down_ask_tob_concentration,overround,spread_differential,tob_imbalance_differential,book_imbalance_differential,up_mid_skew,down_mid_skew
2026-02-16T08:45:00.292718+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,57678.39,47,4358.318440740393,28536.28,0.44,65.0,198.45999999999998,491.20000000000005,1383.04,51723.0,33,5163.269039531677,28530.28,,,0.0,0.0,0.0,0.0,0,,,,,0.0,0.0,0.0,0.0,0,,,0.9124341126720076,0.03766308025443226,NaN,NaN,0.010000000000000009,,0.445,,0.02247191011235957,,-0.751434034416826,,-0.7947728065612538,NaN,-0.05443614564677834,NaN,0.4412428298279159,,0.0012566943139415733,0.007940582252729315,,,,,,NaN,-0.003757170172084101,
2026-02-16T08:45:00.293440+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,57678.39,47,4358.318440740393,28536.28,0.44,65.0,198.45999999999998,491.20000000000005,1383.04,51723.0,33,5163.269039531677,28530.28,0.56,65.0,198.45999999999998,491.20000000000005,1383.04,51723.0,33,5163.269039531677,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,57678.39,47,4358.318440740393,28536.28,0.9124341126720076,0.03766308025443226,0.9623369197455677,0.08756588732799234,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.751434034416826,0.751434034416826,-0.7947728065612538,0.7947728065612538,-0.05443614564677834,0.05443614564677834,0.4412428298279159,0.5587571701720841,0.0012566943139415733,0.007940582252729315,0.007940582252729315,0.0012566943139415733,0.0,0.0,-1.502868068833652,-0.10887229129355668,-0.003757170172084101,0.003757170172084101
2026-02-16T08:45:00.359258+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,58462.19,47,4356.256655293488,28536.28,0.44,39.85,173.31,466.04999999999995,1357.8899999999999,51697.85,33,5163.499575847349,28530.28,0.56,65.0,198.45999999999998,491.20000000000005,1383.04,51723.0,33,5163.269039531677,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,57678.39,47,4358.318440740393,28536.28,0.9127451640111326,0.03746735115676957,0.9623369197455677,0.08756588732799234,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.8399116199658531,0.751434034416826,-0.8042522271270586,0.7947728065612538,-0.061404661799323995,0.05443614564677834,0.44080044190017076,0.5587571701720841,0.00077082509233943,0.007834123217074147,0.007940582252729315,0.0012566943139415733,0.0,0.0,-1.5913456543826792,-0.11584080744610234,-0.004199558099829248,0.003757170172084101
2026-02-16T08:45:00.360087+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,58462.19,47,4356.256655293488,28536.28,0.44,39.85,173.31,466.04999999999995,1357.8899999999999,51697.85,33,5163.499575847349,28530.28,0.56,39.85,173.31,466.04999999999995,1357.8899999999999,51697.85,33,5163.499575847349,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,58462.19,47,4356.256655293488,28536.28,0.9127451640111326,0.03746735115676957,0.9625326488432304,0.08725483598886731,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.8399116199658531,0.8399116199658531,-0.8042522271270586,0.8042522271270586,-0.061404661799323995,0.061404661799323995,0.44080044190017076,0.5591995580998294,0.00077082509233943,0.007834123217074147,0.007834123217074147,0.00077082509233943,0.0,0.0,-1.6798232399317061,-0.12280932359864799,-0.004199558099829248,0.004199558099829304
2026-02-16T08:45:00.451348+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,58681.16,47,4355.090097037304,28536.28,0.44,26.62,160.07999999999998,607.55,1499.3899999999999,51939.35,33,5161.464937342453,28530.28,0.56,39.85,173.31,466.04999999999995,1357.8899999999999,51697.85,33,5163.499575847349,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,58462.19,47,4356.256655293488,28536.28,0.9115517808441416,0.038787539697743616,0.9625326488432304,0.08725483598886731,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.8901407288184556,0.8399116199658531,-0.7521842699929027,0.8042522271270586,-0.06094538887951253,0.061404661799323995,0.4405492963559078,0.5591995580998294,0.000512520853649497,0.007804890019215707,0.007834123217074147,0.00077082509233943,0.0,0.0,-1.7300523487843087,-0.12235005067883653,-0.004450703644092224,0.004199558099829304
2026-02-16T08:45:00.453940+0000,0.45,458.0,2174.59,4295.6900000000005,5693.12,58681.16,47,4355.090097037304,28536.28,0.44,26.62,160.07999999999998,607.55,1499.3899999999999,51939.35,33,5161.464937342453,28530.28,0.56,26.62,160.07999999999998,607.55,1499.3899999999999,51939.35,33,5161.464937342453,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,58681.16,47,4355.090097037304,28536.28,0.9115517808441416,0.038787539697743616,0.9612124603022563,0.08844821915585852,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.8901407288184556,0.8901407288184556,-0.7521842699929027,0.7521842699929027,-0.06094538887951253,0.06094538887951253,0.4405492963559078,0.5594507036440923,0.000512520853649497,0.007804890019215707,0.007804890019215707,0.000512520853649497,0.0,0.0,-1.7802814576369113,-0.12189077775902506,-0.004450703644092224,0.00445070364409228
2026-02-16T08:45:00.707978+0000,0.45,468.0,2184.59,4305.6900000000005,5637.12,58530.16,47,4356.609246408649,28536.28,0.44,23.83,100.13,492.6,1279.44,51869.399999999994,33,5162.919672388022,28530.28,0.56,26.62,160.07999999999998,607.55,1499.3899999999999,51939.35,33,5161.464937342453,28530.28,0.55,458.0,2174.59,4295.6900000000005,5693.12,58681.16,47,4355.090097037304,28536.28,0.9136280491972001,0.037400532876802124,0.9612124603022563,0.08844821915585852,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.9030965984181527,0.8901407288184556,-0.7946768536291053,0.7521842699929027,-0.06033321147294436,0.06094538887951253,0.44048451700790925,0.5594507036440923,0.00045942308952870095,0.0079958776808401,0.007804890019215707,0.000512520853649497,0.0,0.0,-1.7932373272366084,-0.12127860035245688,-0.004515482992090758,0.00445070364409228
2026-02-16T08:45:00.708861+0000,0.45,468.0,2184.59,4305.6900000000005,5637.12,58530.16,47,4356.609246408649,28536.28,0.44,23.83,100.13,492.6,1279.44,51869.399999999994,33,5162.919672388022,28530.28,0.56,23.83,100.13,492.6,1279.44,51869.399999999994,33,5162.919672388022,28530.28,0.55,468.0,2184.59,4305.6900000000005,5637.12,58530.16,47,4356.609246408649,28536.28,0.9136280491972001,0.037400532876802124,0.962599467123198,0.08637195080279975,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.9030965984181527,0.9030965984181527,-0.7946768536291053,0.7946768536291053,-0.06033321147294436,0.06033321147294436,0.44048451700790925,0.5595154829920909,0.00045942308952870095,0.0079958776808401,0.0079958776808401,0.00045942308952870095,0.0,0.0,-1.8061931968363054,-0.12066642294588872,-0.004515482992090758,0.0045154829920908135
2026-02-16T08:45:01.037546+0000,0.45,532.33,2232.92,4374.02,5783.91,61496.95,55,4047.679447314072,28536.28,0.44,169.83,371.13,868.6,1636.44,55305.399999999994,44,4540.330387065034,28580.28,0.56,23.83,100.13,492.6,1279.44,51869.399999999994,33,5162.919672388022,28530.28,0.55,468.0,2184.59,4305.6900000000005,5637.12,58530.16,47,4356.609246408649,28536.28,0.9064481897069693,0.046679586441830276,0.962599467123198,0.08637195080279975,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.5162640993505753,0.9030965984181527,-0.6686389629612675,0.7946768536291053,-0.05300877936103172,0.06033321147294436,0.4424186795032471,0.5595154829920909,0.003070767049872165,0.00865620164902487,0.0079958776808401,0.00045942308952870095,0.0,0.0,-1.4193606977687279,-0.11334199083397609,-0.0025813204967529146,0.0045154829920908135
2026-02-16T08:45:01.038577+0000,0.45,532.33,2232.92,4374.02,5783.91,61496.95,55,4047.679447314072,28536.28,0.44,169.83,371.13,868.6,1636.44,55305.399999999994,44,4540.330387065034,28580.28,0.56,169.83,371.13,868.6,1636.44,55305.399999999994,44,4540.330387065034,28580.28,0.55,532.33,2232.92,4374.02,5783.91,61496.95,55,4047.679447314072,28536.28,0.9064481897069693,0.046679586441830276,0.9533204135581698,0.09355181029303081,0.010000000000000009,0.010000000000000009,0.445,0.555,0.02247191011235957,0.018018018018018032,-0.5162640993505753,0.5162640993505753,-0.6686389629612675,0.6686389629612675,-0.05300877936103172,0.05300877936103172,0.4424186795032471,0.5575813204967529,0.003070767049872165,0.00865620164902487,0.00865620164902487,0.003070767049872165,0.0,0.0,-1.0325281987011505,-0.10601755872206343,-0.0025813204967529146,0.002581320496752859
